donor_key,source_dataset,source_row_id,source_weight,age,age_band,gender,race,education,income,party,state,state_abbr,state_fips,donor_id,persona_generation_version,population_design,political_ideology,religion
LP0052,CES 2024 Common Content,1885001882,1.04719787720774,23,18-29,Male,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,Delaware,DE,,1885001882,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
LP0053,CES 2024 Common Content,1885006018,13.6128513346066,29,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,New Jersey,NJ,,1885006018,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Nothing in particular
LP0054,CES 2024 Common Content,1885177240,1.83658232293919,25,18-29,Male,Black / African American,Bachelor's degree,"$30,000 to $55,999",Democrat,Florida,FL,,1885177240,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular
LP0055,CES 2024 Common Content,1886929106,13.7804942888017,27,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Other,North Carolina,NC,,1886929106,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Nothing in particular
LP0056,CES 2024 Common Content,1887912942,4.40929613869879,19,18-29,Male,Black / African American,High school diploma / GED,"$100,000 to $167,999",Other,Texas,TX,,1887912942,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Protestant
LP0057,CES 2024 Common Content,1892297536,2.32105838681637,22,18-29,Male,Black / African American,High school diploma / GED,"$30,000 to $55,999",Republican,Texas,TX,,1892297536,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Agnostic
LP0058,CES 2024 Common Content,1895554990,13.7804942888017,20,18-29,Male,Black / African American,High school diploma / GED,"$56,000 to $99,999",Independent,North Carolina,NC,,1895554990,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular
LP0059,CES 2024 Common Content,1898080292,0.183489060199074,22,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Independent,Pennsylvania,PA,,1898080292,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Protestant
LP0060,CES 2024 Common Content,1899173994,5.56434676069875,29,18-29,Male,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Independent,Ohio,OH,,1899173994,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Something else
LP0061,CES 2024 Common Content,1904910184,3.1784200218762,29,18-29,Male,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,Florida,FL,,1904910184,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic
LP0062,CES 2024 Common Content,1908437534,9.59316225505299,24,18-29,Male,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,Virginia,VA,,1908437534,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Liberal,Roman Catholic
LP0063,CES 2024 Common Content,1909318624,2.93103289189915,27,18-29,Male,Black / African American,High school diploma / GED,"$30,000 to $55,999",Independent,Ohio,OH,,1909318624,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Protestant
LP0064,CES 2024 Common Content,1909597414,3.75371689947915,20,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Other,Wisconsin,WI,,1909597414,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Nothing in particular
LP0065,CES 2024 Common Content,1910711320,4.40929613869879,19,18-29,Male,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,Texas,TX,,1910711320,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Something else
LP0066,CES 2024 Common Content,1879432206,1.41842847445777,22,18-29,Male,Hispanic / Latino,Some college or Associate's degree,"$56,000 to $99,999",Democrat,California,CA,,1879432206,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very liberal,Roman Catholic
LP0067,CES 2024 Common Content,1880822948,11.4245124107975,22,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Other,North Carolina,NC,,1880822948,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,,Something else
LP0068,CES 2024 Common Content,1882414670,5.99694265618198,25,18-29,Male,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Republican,Florida,FL,,1882414670,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Very conservative,Eastern or Greek Orthodox
LP0069,CES 2024 Common Content,1882415262,4.63708202399192,18,18-29,Male,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Other,New Jersey,NJ,,1882415262,g1000_population_yaml_2026-08-24,G final: 1000 latent U.S.-adult donors; one control and 16 interventions,Moderate,Roman Catholic
