latent_profile_id,donor_id,gender,age,age_band,race,education,education_approximated,income,income_approximated,party,state_abbr,religion,political_ideology,ces_commonweight,population_seed
LP0083,1889128352,Male,24,18-29,Hispanic / Latino,Less than high school,False,"Less than $30,000",False,Other,CT,Something else,Very conservative,3.09683685345704,20260831
LP0084,1891425616,Male,18,18-29,Hispanic / Latino,Less than high school,False,"Less than $30,000",False,Other,FL,Roman Catholic,,13.7804942888017,20260831
LP0085,1893074050,Male,27,18-29,Hispanic / Latino,High school diploma / GED,False,"Less than $30,000",False,Republican,CA,Nothing in particular,Moderate,1.24693985514251,20260831
LP0086,1894289428,Male,27,18-29,Hispanic / Latino,Master's degree / Professional degree,True,"$30,000 to $55,999",False,Democrat,IL,Roman Catholic,Moderate,2.76692607637951,20260831
LP0087,1894334562,Male,20,18-29,Hispanic / Latino,Less than high school,False,"$100,000 to $167,999",False,Other,NM,Atheist,,13.7804942888017,20260831
LP0088,1900110528,Male,29,18-29,Hispanic / Latino,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,CA,Roman Catholic,Liberal,13.1841712680944,20260831
LP0089,1903016080,Male,23,18-29,Hispanic / Latino,High school diploma / GED,False,"Less than $30,000",False,Independent,WI,Nothing in particular,Moderate,6.78762777664584,20260831
LP0090,1877322688,Male,25,18-29,Asian / Asian American,Some college or Associate's degree,False,"$100,000 to $167,999",False,Independent,MA,Agnostic,Moderate,12.143764600998,20260831
LP0091,1882725290,Male,19,18-29,Asian / Asian American,High school diploma / GED,False,"Less than $30,000",False,Independent,TX,Something else,,5.0791044785888,20260831
LP0092,1886682642,Male,29,18-29,Asian / Asian American,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Republican,MA,Atheist,Conservative,1.30805459816306,20260831
LP0093,1886940902,Male,20,18-29,Asian / Asian American,Some college or Associate's degree,False,"$56,000 to $99,999",False,Democrat,CA,Roman Catholic,Liberal,13.6128513346066,20260831
LP0094,1889413622,Male,28,18-29,Asian / Asian American,Some college or Associate's degree,False,"$30,000 to $55,999",False,Independent,HI,Nothing in particular,Moderate,6.00599637118826,20260831
LP0095,1890162432,Male,27,18-29,Asian / Asian American,High school diploma / GED,False,"$30,000 to $55,999",True,Democrat,WA,Nothing in particular,Liberal,3.66162397647073,20260831
LP0096,1891401032,Male,22,18-29,Asian / Asian American,High school diploma / GED,False,"Less than $30,000",False,Independent,NV,Something else,Moderate,10.7415211450145,20260831
LP0097,1906182608,Male,25,18-29,Asian / Asian American,Bachelor's degree,False,"Less than $30,000",False,Independent,MA,Buddhist,Moderate,1.30906307747017,20260831
LP0098,1906239580,Male,21,18-29,Asian / Asian American,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,PA,Roman Catholic,Liberal,13.6128513346066,20260831
LP0099,1867583970,Male,28,18-29,Other,High school diploma / GED,False,"$56,000 to $99,999",False,Other,MD,Muslim,,6.02277541772917,20260831
LP0100,1886447590,Male,21,18-29,Other,Less than high school,False,"$30,000 to $55,999",False,Other,UT,Mormon,Moderate,1.2736753371259,20260831
LP0101,1907777306,Male,27,18-29,Other,Some college or Associate's degree,False,"$100,000 to $167,999",False,Democrat,NV,Protestant,Moderate,6.38918399929958,20260831
LP0102,1908017810,Male,22,18-29,Other,Some college or Associate's degree,False,"Less than $30,000",False,Other,TX,Muslim,,2.61903713839416,20260831
LP0103,1853846670,Male,42,30-44,White / Caucasian,Some college or Associate's degree,False,"Less than $30,000",False,Democrat,PA,Agnostic,Moderate,2.54819194660525,20260831
LP0104,1861289472,Male,34,30-44,White / Caucasian,Master's degree / Professional degree,True,"$100,000 to $167,999",False,Democrat,NY,Agnostic,Moderate,1.22306139197815,20260831
LP0105,1866167066,Male,44,30-44,White / Caucasian,Some college or Associate's degree,False,"$100,000 to $167,999",False,Democrat,NY,Agnostic,Liberal,3.05404811275197,20260831
LP0106,1868548586,Male,43,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Democrat,VA,Agnostic,Moderate,1.29507817326806,20260831
LP0107,1870012336,Male,37,30-44,White / Caucasian,Bachelor's degree,False,"$100,000 to $167,999",False,Republican,CO,Protestant,Moderate,4.5322344689487,20260831
LP0108,1870928936,Male,43,30-44,White / Caucasian,High school diploma / GED,False,"$100,000 to $167,999",False,Democrat,WA,Agnostic,Liberal,1.89693188705755,20260831
LP0109,1870930828,Male,42,30-44,White / Caucasian,Bachelor's degree,False,"$168,000 or more",False,Democrat,MN,Nothing in particular,Liberal,1.79906274882441,20260831
