study_id,effect_id,analytic_n,distinct_profile_signatures,profiles_with_any_missing_demographic,pct_profiles_with_any_missing_demographic,n_f,max_signature_multiplicity_in_panel,max_abs_signature_share_error_pp,same_panel_control_treatment,profile_fields_available,status,control_observed_n,treatment_observed_n,human_control_conditions,human_treatment_conditions,outcome,analytic_sample_definition,human_estimator,population_matching_method
Howard823,Howard823:Willingness_to_spend_on_optional_expense:hyp2,827,132,158,19.105199516324063,500,26,0.12091898428053204,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,417,410,Experimental Similar,Experimental Different,Willingness_to_spend_on_optional_expense,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Howard823,Howard823:financial_slack:hyp1,851,126,149,17.508813160987074,500,32,0.11750881316098707,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,443,408,Control,Experimental Different,financial_slack,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Howard823,Howard823:financial_slack:hyp2,825,130,160,19.393939393939394,500,26,0.12121212121212122,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,417,408,Experimental Similar,Experimental Different,financial_slack,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:Confusing:hyp1,1026,155,243,23.68421052631579,500,27,0.10253411306042887,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,258,768,Experimental condition 4 (no conflict control)|Experimental condition 8 (no conflict control),Experimental condition 1 (conflict in evidence)|Experimental condition 2 (conflict between sources)|Experimental condition 3 (conflict within source)|Experimental condition 5 (conflict in evidence)|Experimental condition 6 (conflict between sources)|Experimental condition 7 (conflict within source),Confusing,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:Confusing:hyp2,508,122,128,25.19685039370079,500,27,0.1622047244094489,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,254,254,Experimental condition 1 (conflict in evidence)|Experimental condition 5 (conflict in evidence),Experimental condition 2 (conflict between sources)|Experimental condition 6 (conflict between sources),Confusing,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:Confusing:hyp3,514,127,122,23.735408560311285,500,27,0.15642023346303502,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,260,254,Experimental condition 3 (conflict within source)|Experimental condition 7 (conflict within source),Experimental condition 2 (conflict between sources)|Experimental condition 6 (conflict between sources),Confusing,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:Frustrated:hyp1,1026,155,243,23.68421052631579,500,27,0.10253411306042887,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,258,768,Experimental condition 4 (no conflict control)|Experimental condition 8 (no conflict control),Experimental condition 1 (conflict in evidence)|Experimental condition 2 (conflict between sources)|Experimental condition 3 (conflict within source)|Experimental condition 5 (conflict in evidence)|Experimental condition 6 (conflict between sources)|Experimental condition 7 (conflict within source),Frustrated,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:Frustrated:hyp2,508,122,128,25.19685039370079,500,27,0.1622047244094489,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,254,254,Experimental condition 1 (conflict in evidence)|Experimental condition 5 (conflict in evidence),Experimental condition 2 (conflict between sources)|Experimental condition 6 (conflict between sources),Frustrated,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:Frustrated:hyp3,514,127,122,23.735408560311285,500,27,0.15642023346303502,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,260,254,Experimental condition 3 (conflict within source)|Experimental condition 7 (conflict within source),Experimental condition 2 (conflict between sources)|Experimental condition 6 (conflict between sources),Frustrated,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:collaborative:hyp1,1027,155,243,23.661148977604675,500,27,0.10262901655306719,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,258,769,Experimental condition 4 (no conflict control)|Experimental condition 8 (no conflict control),Experimental condition 1 (conflict in evidence)|Experimental condition 2 (conflict between sources)|Experimental condition 3 (conflict within source)|Experimental condition 5 (conflict in evidence)|Experimental condition 6 (conflict between sources)|Experimental condition 7 (conflict within source),collaborative,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
Iles1294,Iles1294:collaborative:hyp2,509,122,128,25.147347740667975,500,27,0.16110019646365414,True,GENDER|race_4|pid_3|age_5|EDUC4|ideo_3,PASS,255,254,Experimental condition 1 (conflict in evidence)|Experimental condition 5 (conflict in evidence),Experimental condition 2 (conflict between sources)|Experimental condition 6 (conflict between sources),collaborative,pooled respondents in human control/treatment comparison with observed y,unweighted difference in condition means,study_effect_analytic_profile_distribution_unweighted_largest_remainder
