study_id,effect_id,demographic_variable,category,human_analytic_pct,current_complete_case_source_pct,abs_pp_difference
CalarcoS38,CalarcoS38:Approval:hyp2,ideo_3,__MISSING__,6.4206642066420665,0.0,6.4206642066420665
CalarcoS38,CalarcoS38:Approval:hyp3,GENDER,Female,53.61702127659574,54.26409903713893,0.6470777605431834
CalarcoS38,CalarcoS38:Approval:hyp3,GENDER,Male,46.38297872340426,45.73590096286107,0.6470777605431834
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,Black,10.49645390070922,12.998624484181567,2.5021705834723473
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,White,68.22695035460993,87.00137551581844,18.774425161208512
CalarcoS38,CalarcoS38:Approval:hyp3,race_4,__MISSING__,21.27659574468085,0.0,21.27659574468085
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,Democrat,48.36879432624113,46.8363136176066,1.5324807086345302
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,Independent,17.163120567375888,13.13617606602476,4.026944501351128
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,Republican,34.326241134751776,40.027510316368634,5.701269181616858
CalarcoS38,CalarcoS38:Approval:hyp3,pid_3,__MISSING__,0.14184397163120568,0.0,0.14184397163120568
CalarcoS38,CalarcoS38:Approval:hyp3,age_5,Older than 50,48.652482269503544,57.015130674002755,8.362648404499211
CalarcoS38,CalarcoS38:Approval:hyp3,age_5,Younger than 50,51.34751773049645,42.98486932599725,8.362648404499197
CalarcoS38,CalarcoS38:Approval:hyp3,EDUC4,College,34.46808510638298,37.689133425034385,3.2210483186514054
CalarcoS38,CalarcoS38:Approval:hyp3,EDUC4,Non-College,65.53191489361701,62.310866574965615,3.2210483186513983
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,Conservative,19.148936170212767,23.177441540577718,4.02850537036495
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,Liberal,57.730496453900706,60.45392022008254,2.7234237661818312
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,Moderate,16.595744680851062,16.368638239339752,0.2271064415113102
CalarcoS38,CalarcoS38:Approval:hyp3,ideo_3,__MISSING__,6.524822695035461,0.0,6.524822695035461
Campbell1308,Campbell1308:Gender Roles:hyp1,GENDER,Female,51.76589303733602,52.4869109947644,0.7210179574283799
Campbell1308,Campbell1308:Gender Roles:hyp1,GENDER,Male,48.23410696266397,47.51308900523561,0.7210179574283657
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,Black,11.60443995963673,15.052356020942408,3.447916061305678
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,White,64.9848637739657,84.9476439790576,19.962780205091903
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,__MISSING__,23.41069626639758,0.0,23.41069626639758
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,Democrat,48.23410696266397,46.20418848167539,2.0299184809885844
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,Independent,15.539858728557013,14.00523560209424,1.5346231264627725
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,Republican,36.02421796165489,39.79057591623037,3.7663579545754757
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,__MISSING__,0.20181634712411706,0.0,0.20181634712411706
Campbell1308,Campbell1308:Gender Roles:hyp1,age_5,Older than 50,50.8577194752775,56.282722513089,5.4250030378115
Campbell1308,Campbell1308:Gender Roles:hyp1,age_5,Younger than 50,49.1422805247225,43.717277486910994,5.425003037811507
Campbell1308,Campbell1308:Political Engagement:hyp1,GENDER,Female,52.00411099691675,52.4869109947644,0.4827999978476498
Campbell1308,Campbell1308:Political Engagement:hyp1,GENDER,Male,47.99588900308325,47.51308900523561,0.4827999978476427
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,Black,11.202466598150052,15.052356020942408,3.849889422792357
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,White,65.26207605344297,84.9476439790576,19.685567925614635
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,__MISSING__,23.53545734840699,0.0,23.53545734840699
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,Democrat,48.30421377183967,46.20418848167539,2.1000252901642824
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,Independent,15.313463514902365,14.00523560209424,1.3082279128081247
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,Republican,36.17677286742035,39.79057591623037,3.61380304881002
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,__MISSING__,0.20554984583761562,0.0,0.20554984583761562
Campbell1308,Campbell1308:Political Engagement:hyp1,age_5,Older than 50,50.56526207605344,56.282722513089,5.717460437035555
Campbell1308,Campbell1308:Political Engagement:hyp1,age_5,Younger than 50,49.43473792394656,43.717277486910994,5.717460437035562
Campbell1308,Campbell1308:Political Responsiveness:hyp1,GENDER,Female,52.053388090349074,52.4869109947644,0.4335229044153266
Campbell1308,Campbell1308:Political Responsiveness:hyp1,GENDER,Male,47.94661190965092,47.51308900523561,0.4335229044153124
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,Black,11.601642710472278,15.052356020942408,3.45071331047013
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,White,64.98973305954824,84.9476439790576,19.95791091950936
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,__MISSING__,23.408624229979466,0.0,23.408624229979466
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,Democrat,48.76796714579055,46.20418848167539,2.563778664115162
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,Independent,15.092402464065707,14.00523560209424,1.0871668619714665
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,Republican,35.93429158110883,39.79057591623037,3.8562843351215363
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,__MISSING__,0.20533880903490762,0.0,0.20533880903490762
Campbell1308,Campbell1308:Political Responsiveness:hyp1,age_5,Older than 50,50.82135523613963,56.282722513089,5.4613672769493675
Campbell1308,Campbell1308:Political Responsiveness:hyp1,age_5,Younger than 50,49.17864476386037,43.717277486910994,5.461367276949375
Cohen1099,Cohen1099:Accounting:hyp1,GENDER,Female,51.570351758793976,52.37273511647972,0.8023833576857413
Cohen1099,Cohen1099:Accounting:hyp1,GENDER,Male,48.42964824120603,47.627264883520276,0.8023833576857555
Cohen1099,Cohen1099:Accounting:hyp1,race_4,Black,12.185929648241206,14.322691975841243,2.136762327600037
