study_id,effect_id,demographic_variable,category,control_pct,treatment_pct,abs_pp_difference,diagnostic_only
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,Black,11.627906976744185,11.596180081855389,0.031726894888796764,True
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,White,63.95348837209303,65.34788540245566,1.394397030362633,True
Campbell1308,Campbell1308:Gender Roles:hyp1,race_4,__MISSING__,24.418604651162788,23.05593451568895,1.362670135473838,True
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,Democrat,49.224806201550386,47.88540245566166,1.339403745888724,True
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,Independent,14.728682170542637,15.82537517053206,1.0966929999894237,True
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,Republican,35.65891472868217,36.15279672578445,0.4938819971022781,True
Campbell1308,Campbell1308:Gender Roles:hyp1,pid_3,__MISSING__,0.3875968992248062,0.1364256480218281,0.2511712512029781,True
Campbell1308,Campbell1308:Gender Roles:hyp1,age_5,Older than 50,46.51162790697674,52.38744884038199,5.875820933405251,True
Campbell1308,Campbell1308:Gender Roles:hyp1,age_5,Younger than 50,53.48837209302325,47.61255115961801,5.875820933405244,True
Campbell1308,Campbell1308:Political Engagement:hyp1,GENDER,Female,54.86381322957199,50.977653631284916,3.8861595982870725,True
Campbell1308,Campbell1308:Political Engagement:hyp1,GENDER,Male,45.13618677042802,49.022346368715084,3.8861595982870654,True
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,Black,11.673151750972762,11.033519553072626,0.639632197900136,True
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,White,64.59143968871595,65.5027932960894,0.9113536073734423,True
Campbell1308,Campbell1308:Political Engagement:hyp1,race_4,__MISSING__,23.73540856031128,23.463687150837988,0.2717214094732938,True
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,Democrat,49.80544747081712,47.76536312849162,2.0400843423254997,True
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,Independent,14.396887159533073,15.64245810055866,1.245570941025587,True
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,Republican,35.40856031128405,36.452513966480446,1.0439536551963968,True
Campbell1308,Campbell1308:Political Engagement:hyp1,pid_3,__MISSING__,0.38910505836575876,0.13966480446927373,0.24944025389648503,True
Campbell1308,Campbell1308:Political Engagement:hyp1,age_5,Older than 50,45.91439688715953,52.23463687150838,6.320239984348845,True
Campbell1308,Campbell1308:Political Engagement:hyp1,age_5,Younger than 50,54.08560311284047,47.76536312849162,6.320239984348845,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,GENDER,Female,55.252918287937746,50.906555090655516,4.34636319728223,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,GENDER,Male,44.74708171206226,49.09344490934449,4.34636319728223,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,Black,11.673151750972762,11.576011157601116,0.09714059337164649,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,White,64.59143968871595,65.13249651324965,0.5410568245336975,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,race_4,__MISSING__,23.73540856031128,23.291492329149232,0.44391623116204926,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,Democrat,49.0272373540856,48.675034867503484,0.35220248658211517,True
Campbell1308,Campbell1308:Political Responsiveness:hyp1,pid_3,Independent,14.785992217898833,15.202231520223153,0.4162393023243194,True
